Name,Artists,Main Artist,Year,Album,New Path
Gueto,IZA,IZA,2021-06-03,Gueto,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\I\IZA\Gueto\220 - IZA - Gueto.mp3
F40 (Remix),J Balvin,J Balvin,2021-12-10,JOSE (Deluxe Edition),\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\J\J Balvin\JOSE (Deluxe Edition)\273 - J Balvin - F40 (Remix).mp3
Case Of The Ex (feat. Mya Francis),Jack Back,Jack Back,2023-02-24,Case Of The Ex (feat. Mya Francis),\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\J\Jack Back\Case Of The Ex (feat. Mya Francis)\011 - Jack Back - Case Of The Ex (feat. Mya Francis).mp3
Acapulco,Jason Derulo,Jason Derulo,2021-09-03,Acapulco,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\J\Jason Derulo\Acapulco\046 - Jason Derulo - Acapulco.mp3
Infinity,Jaymes Young,Jaymes Young,2017-06-23,Feel Something,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\J\Jaymes Young\Feel Something\024 - Jaymes Young - Infinity.mp3
Lionheart (Cedric Gervais Remix),Joel Corry,Joel Corry,2022-12-30,Lionheart (Cedric Gervais Remix),\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\J\Joel Corry\Lionheart (Cedric Gervais Remix)\188 - Joel Corry - Lionheart (Cedric Gervais Remix).mp3
All of Me,John Legend,John Legend,2013-08-30,Love In The Future (Expanded Edition),\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\J\John Legend\Love In The Future (Expanded Edition)\096 - John Legend - All of Me.mp3
All Time Low,Jon Bellion,Jon Bellion,2016-05-13,All Time Low,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\J\Jon Bellion\All Time Low\185 - Jon Bellion - All Time Low.mp3
"Mas, Que Nada!",Jorge Ben Jor,Jorge Ben Jor,1963-01-01,Samba Esquema Novo,"\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\J\Jorge Ben Jor\Samba Esquema Novo\276 - Jorge Ben Jor - Mas, Que Nada!.mp3"
Peaches,Justin Bieber,Justin Bieber,2021-03-19,Justice,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\J\Justin Bieber\Justice\070 - Justin Bieber - Peaches.mp3
this is what autumn feels like,Jvke,Jvke,2023-09-12,this is what autumn feels like,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\J\Jvke\this is what autumn feels like\154 - Jvke - this is what autumn feels like.mp3
Pilantra,Jão,Jão,2023-03-13,Pilantra,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\J\Jão\Pilantra\177 - Jão - Pilantra.mp3
Way down We Go,KALEO,KALEO,2015-08-07,Way down We Go,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\K\KALEO\Way down We Go\250 - KALEO - Way down We Go.mp3
S91,KAROL G,KAROL G,2023-07-14,S91,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\K\KAROL G\S91\175 - KAROL G - S91.mp3
Running Up That Hill (A Deal With God),Kate Bush,Unknown,2011-05-16,Hounds Of Love,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\Unknown\Unknown\Hounds Of Love\030 - Kate Bush - Running Up That Hill (A Deal With God).mp3
Babooshka,Kate Bush,Kate Bush,1980-09-08,Never for Ever,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\K\Kate Bush\Never for Ever\215 - Kate Bush - Babooshka.mp3
Work,Kazy Lambist,Kazy Lambist,2018-11-26,Work,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\K\Kazy Lambist\Work\125 - Kazy Lambist - Work.mp3
Metro,Kevin de Vries,Unknown,2023-07-14,Metro,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\Unknown\Unknown\Metro\129 - Kevin de Vries - Metro.mp3
So Over,Kid Francescoli,Kid Francescoli,2020-01-31,Lovers,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\K\Kid Francescoli\Lovers\285 - Kid Francescoli - So Over.mp3
